entry_time,exit_time,position,entry_price,exit_price,size,pnl,exit_reason,bars_held,market_conditions,daily_pnl,trades_today,balance
2025-06-09 05:30:00,2025-06-09 05:45:00,BUY,3302.57,3305.58,0.01,30.1,take_profit,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121888928606e-08, 'scaled_prediction': 2.442060944464303e-05}",60.2,104,454.4883664688418
2025-06-09 06:00:00,2025-06-09 06:15:00,BUY,3307.43,3304.42,0.01,-30.1,stop_loss,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121882546584e-08, 'scaled_prediction': 2.442060941273292e-05}",-60.2,105,424.38836646884175
2025-06-09 06:30:00,2025-06-09 07:15:00,BUY,3308.56,3311.91,0.01,33.5,take_profit,5,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.88412189130311e-08, 'scaled_prediction': 2.442060945651555e-05}",67.0,106,457.88836646884175
2025-06-09 07:30:00,2025-06-09 08:30:00,BUY,3312.04,3315.06,0.01,30.2,take_profit,7,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121886398117e-08, 'scaled_prediction': 2.4420609431990583e-05}",60.4,107,488.08836646884174
2025-06-09 08:45:00,2025-06-09 09:15:00,BUY,3314.37,3318.7,0.01,43.3,take_profit,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121887299009e-08, 'scaled_prediction': 2.4420609436495044e-05}",86.6,108,531.3883664688417
2025-06-09 09:30:00,2025-06-09 09:45:00,BUY,3320.09,3324.16,0.01,40.7,take_profit,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121886977537e-08, 'scaled_prediction': 2.4420609434887683e-05}",81.4,109,572.0883664688417
2025-06-09 10:00:00,2025-06-09 11:45:00,BUY,3323.54,3319.87,0.01,-36.7,stop_loss,13,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121883315681e-08, 'scaled_prediction': 2.4420609416578406e-05}",-73.4,110,535.3883664688417
2025-06-09 12:00:00,2025-06-09 12:15:00,BUY,3322.91,3318.39,0.01,-45.2,stop_loss,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121881603763e-08, 'scaled_prediction': 2.4420609408018816e-05}",-90.4,111,490.1883664688417
2025-06-09 12:30:00,2025-06-09 12:45:00,BUY,3321.58,3318.76,0.01,-28.2,stop_loss,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.884121881029958e-08, 'scaled_prediction': 2.442060940514979e-05}",-56.4,112,461.9883664688417
2025-06-09 13:00:00,2025-06-09 13:15:00,BUY,3319.04,3316.94,0.01,-21.0,stop_loss,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.8841218886892297e-08, 'scaled_prediction': 2.442060944344615e-05}",-42.0,113,440.9883664688417
